Local Area Unemployment Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,1976 to 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,"Annual
1976","Annual
1977","Annual
1978","Annual
1979","Annual
1980","Annual
1981","Annual
1982","Annual
1983","Annual
1984","Annual
1985","Annual
1986","Annual
1987","Annual
1988","Annual
1989","Annual
1990","Annual
1991","Annual
1992","Annual
1993","Annual
1994","Annual
1995","Annual
1996","Annual
1997","Annual
1998","Annual
1999","Annual
2000","Annual
2001","Annual
2002","Annual
2003","Annual
2004","Annual
2005","Annual
2006","Annual
2007","Annual
2008","Annual
2009","Annual
2010","Annual
2011","Annual
2012"
LAUST38000003,3.7,4.6,4.2,4,5,4.8,5.7,6,5.4,5.7,5.9,5.1,4.7,4.4,4,4.3,4.7,4.4,3.7,3.3,3.2,2.9,3,3.2,2.9,2.8,3.5,3.6,3.5,3.4,3.2,3.1,3.1,4.1,3.8,3.5,2.4
LAUST38000004,10339,13235,12562,12007,15344,14940,18125,19208,17395,18617,19339,16802,15421,14197,12860,13859,15207,14293,12653,11307,10982,10001,10378,11153,10101,9592,12231,12576,12260,12249,11545,11417,11545,15333,14383,13365,9441
LAUST38000005,267703,275939,283302,289118,292381,295699,298068,301263,306286,309007,311192,312031,312424,312064,305935,305007,305056,308915,327377,331252,334086,335854,336642,336481,335780,336228,333605,336353,339541,343625,349368,355050,358944,355838,361345,369579,382355
LAUST38000006,278042,289174,295864,301125,307725,310639,316193,320471,323681,327624,330531,328833,327845,326261,318795,318866,320263,323208,340030,342559,345068,345855,347020,347634,345881,345820,345836,348929,351801,355874,360913,366467,370489,371171,375728,382944,391796
LASST39000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
LASST39000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395686
LASST39000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5376291
LASST39000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5771977
LAUST39000003,7.7,6.4,5.5,5.9,8.5,9.6,12.7,12.2,9.4,8.9,8.2,7,6.1,5.5,5.7,6.6,7.4,6.7,5.6,4.9,5,4.6,4.3,4.3,4,4.4,5.7,6.2,6.1,5.9,5.4,5.6,6.5,10.1,10,8.6,6.3
LAUST39000004,368174,310626,270871,293804,432291,489633,652821,624549,481899,459702,429910,370058,321797,297971,309641,355348,402480,370897,313974,273853,282314,264455,247857,246349,233882,258914,334943,361085,360274,344244,321406,335478,389182,601401,585515,501119,364255
LAUST39000005,4404280,4512102,4652138,4728263,4638530,4622555,4504425,4498380,4633591,4696672,4787594,4884435,4994461,5085144,5079472,5045897,5072649,5138818,5254199,5330591,5378491,5448161,5488877,5534376,5573154,5566735,5503109,5498936,5502533,5537419,5602764,5611042,5557149,5327706,5278510,5305348,5445718
LAUST39000006,4772454,4822728,4923009,5022067,5070821,5112188,5157246,5122929,5115490,5156374,5217504,5254493,5316258,5383115,5389113,5401245,5475129,5509715,5568173,5604444,5660805,5712616,5736734,5780725,5807036,5825649,5838052,5860021,5862807,5881663,5924170,5946520,5946331,5929107,5864025,5806467,5809973
LASST40000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
LASST40000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96077
LASST40000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725884
LASST40000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1821961
LAUST40000003,5.8,5,3.6,3.3,4.4,3.7,6.2,8.6,7,7.4,8.5,7.5,6.5,5.7,5.7,6.2,6.2,6,5.6,4.6,4.2,4.2,4.4,3.6,3.1,3.7,4.8,5.6,5,4.5,4.1,4.1,3.7,6.7,6.9,6.2,5.2
LAUST40000004,68882,61742,45747,42961,61244,53571,92440,133438,108999,116069,133684,116015,99911,86940,86286,94284,94849,92897,86945,72191,65935,67436,71481,59464,51523,61627,81068,95471,84105,76851,71101,71305,65061,117392,122412,108983,95467
LAUST40000005,1123183,1172713,1224162,1274082,1320770,1376705,1403204,1415275,1446175,1456578,1432286,1431081,1429860,1433720,1434566,1426240,1432081,1450076,1469487,1490602,1514880,1543105,1569498,1590838,1609522,1614627,1602118,1598614,1605641,1628655,1650070,1663632,1674794,1645168,1648822,1661839,1731673
LAUST40000006,1192065,1234455,1269909,1317043,1382014,1430276,1495644,1548713,1555174,1572647,1565970,1547096,1529771,1520660,1520852,1520524,1526930,1542973,1556432,1562793,1580815,1610541,1640979,1650302,1661045,1676254,1683186,1694085,1689746,1705506,1721171,1734937,1739855,1762560,1771234,1770822,1827140
LASST41000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
LASST41000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169350
LASST41000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798287
LASST41000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967637
LAUST41000003,9.3,7.5,6.1,6.7,8.4,9.8,11.6,10.9,9.4,8.7,8,6.3,5.8,5.4,5.4,6.4,7.3,6.9,5.5,4.9,5.6,5.6,5.7,5.5,5.1,6.4,7.6,8.1,7.3,6.2,5.3,5.2,6.5,11.1,10.7,9.5,8.1
LAUST41000004,101866,86064,73845,83598,109635,130802,153628,145060,124757,116316,108421,87182,82147,79003,81376,96794,114346,110948,89496,81788,96665,97821,101016,98436,93196,117456,139609,150345,135273,115072,101228,99254,127065,218908,211356,188271,159439
LAUST41000005,994671,1066033,1134101,1170467,1187977,1197506,1171534,1185413,1208689,1218983,1254894,1302453,1345459,1381601,1424864,1425231,1448017,1489808,1546552,1583153,1618571,1652997,1678407,1697288,1716954,1711041,1704131,1699679,1714447,1740990,1792039,1821827,1829871,1759478,1772216,1803602,1811922
LAUST41000006,1096537,1152097,1207946,1254065,1297612,1328308,1325162,1330473,1333446,1335299,1363315,1389635,1427606,1460604,1506240,1522025,1562363,1600756,1636048,1664941,1715236,1750818,1779423,1795724,1810150,1828497,1843740,1850024,1849720,1856062,1893267,1921081,1956936,1978386,1983572,1991873,1971361
LASST42000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
LASST42000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527574
LASST42000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6008887
LASST42000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6536461
LAUST42000003,8,7.7,6.9,6.8,7.9,8.4,11.3,11.6,9.1,8.1,6.9,5.7,5,4.7,5.4,6.9,7.7,7.1,6.3,5.9,5.4,5.1,4.6,4.4,4.2,4.8,5.6,5.7,5.4,5,4.5,4.4,5.4,8,8.5,7.9,7.4
LAUST42000004,410908,401073,366558,367134,427761,462176,618562,640664,503194,447300,388809,320334,288380,273131,316657,404532,454373,418976,373136,345739,325746,310592,280750,268002,254931,293417,348552,349266,337235,312201,286574,276227,345168,509288,540922,506817,485178
LAUST42000005,4721443,4807072,4932945,5017263,4997386,5021591,4878084,4864674,5000992,5106655,5228972,5336412,5446776,5533959,5510009,5437439,5455450,5504269,5529551,5554303,5662126,5775178,5787593,5809824,5830902,5874153,5869224,5795701,5859561,5958238,6021084,6054127,6102990,5895057,5848673,5878897,6070348
LAUST42000006,5132351,5208145,5299503,5384397,5425147,5483767,5496646,5505338,5504186,5553955,5617781,5656746,5735156,5807090,5826666,5841971,5909823,5923245,5902687,5900042,5987872,6085770,6068343,6077826,6085833,6167570,6217776,6144967,6196796,6270439,6307658,6330354,6448158,6404345,6389595,6385714,6555526
LASST44000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
LASST44000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58707
LASST44000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504704
LASST44000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563411
LAUST44000003,8,7.7,6.5,6.3,7.1,7.9,9.4,8.4,5.6,4.5,4,3.6,3,4,6.1,8.1,8.8,7.9,6.8,6.2,5.3,5.2,4.6,4.2,4.2,4.5,5.1,5.4,5.2,5.1,5.1,5.2,7.7,10.9,11.7,11.3,9.9
LAUST44000004,35113,34587,29319,29572,33383,37838,44628,39833,27591,22402,20286,18508,15642,20855,32177,42479,46810,41708,35212,31463,27500,27735,24460,22559,22646,24784,28070,30315,29050,28478,29027,29809,44166,61656,66725,63399,56397
LAUST44000005,405847,412959,423875,436488,436954,441105,431527,437170,464205,475926,485994,495750,502255,500778,493674,480591,483329,484965,480669,477409,489929,504147,509551,518848,520758,520677,525721,533265,526046,532961,543973,544437,527304,503806,503576,500014,512722
LAUST44000006,440960,447546,453194,466060,470337,478943,476155,477003,491796,498328,506280,514258,517897,521633,525851,523070,530139,526673,515881,508872,517429,531882,534011,541407,543404,545461,553791,563580,555096,561439,573000,574246,571470,565462,570301,563413,569119
LASST45000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
LASST45000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183024
LASST45000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954801
LASST45000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137825
LAUST45000003,7.1,6.8,5.6,5,6.6,8,10.7,9.6,6.7,6.6,6.2,5.2,4.6,4.6,4.9,6.1,6.6,7.2,6,5.1,5.6,4.4,3.6,4.1,3.6,5.2,6,6.7,6.8,6.8,6.4,5.6,6.8,11.5,11.2,10.3,8.2
LAUST45000004,90917,89237,74233,67113,92665,114633,161077,143941,101289,104157,99624,85671,76136,78381,83570,107031,118924,131687,111053,95233,106731,84349,69230,79779,70794,100743,115907,133257,138430,139983,134123,119068,145281,247611,241162,221381,175531
LAUST45000005,1193533,1221954,1257426,1285486,1301576,1325929,1342557,1361533,1405232,1479200,1516970,1550593,1581786,1611486,1638580,1653770,1673620,1696068,1729363,1754633,1785646,1819508,1849075,1876895,1917365,1834871,1826240,1854419,1888050,1922367,1970912,2010252,2000582,1903146,1909414,1935885,1970153
LAUST45000006,1284450,1311191,1331659,1352599,1394241,1440562,1503634,1505474,1506521,1583357,1616594,1636264,1657922,1689867,1722150,1760801,1792544,1827755,1840416,1849866,1892377,1903857,1918305,1956674,1988159,1935614,1942147,1987676,2026480,2062350,2105035,2129320,2145863,2150757,2150576,2157266,2145684
LASST46000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
LASST46000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19758
LASST46000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424157
LASST46000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443915
LAUST46000003,3.4,3.5,3.3,3.4,4.7,4.8,5.5,5.3,4.5,4.8,4.7,4.4,4.2,4,3.7,3.6,3.5,3.6,3.4,3.3,3.4,3.1,3,2.8,2.7,3.1,3.3,3.5,3.7,3.7,3.1,2.9,3,5.2,5,4.7,4.0
LAUST46000004,10541,10964,10687,11365,15754,16071,18206,17747,15274,16623,16255,15567,14875,14283,13139,12755,12705,13079,12641,12573,13332,12060,11929,11430,11007,12912,13788,14956,15651,15715,13551,12659,13284,22869,22378,20841,17985
LAUST46000005,298130,306399,314617,319673,318046,317244,315106,317167,325429,327853,333232,338469,342024,344370,337503,341025,345996,352666,364452,373515,379222,383216,389748,394898,397678,400352,402397,408089,411708,413819,421799,426763,429728,420665,421066,425413,429565
LAUST46000006,308671,317363,325304,331038,333800,333315,333312,334914,340703,344476,349487,354036,356899,358653,350642,353780,358701,365745,377093,386088,392554,395276,401677,406328,408685,413264,416185,423045,427359,429534,435350,439422,443012,443534,443444,446254,447550
LASST47000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
LASST47000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253565
LASST47000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2855180
LASST47000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3108745
LAUST47000003,6.2,6.3,5.9,6,7.3,9.2,11.7,11.7,9.3,8.2,7.9,6.8,5.8,5.2,5.5,6.6,6.6,6,5.1,5.3,5.3,5.3,4.5,4.1,4,4.7,5.3,5.7,5.4,5.6,5.2,4.8,6.6,10.5,9.8,9.2,7.8
LAUST47000004,115182,122324,117533,122047,151483,195462,249676,255825,207055,185742,180562,157604,136374,123604,132078,159396,162798,151706,134648,144047,147371,148343,126549,116614,115041,134993,152116,164764,158114,163808,156439,146180,202210,318267,301100,287732,242636
LAUST47000005,1745576,1816693,1866238,1918544,1920122,1927620,1891509,1932428,2026401,2070047,2110655,2166531,2197182,2241272,2269015,2265985,2316661,2391568,2511085,2574000,2610975,2640005,2685151,2722124,2756498,2728523,2714992,2731371,2746241,2778489,2852509,2901754,2855946,2716061,2783027,2845010,2884197
LAUST47000006,1860758,1939017,1983771,2040591,2071605,2123082,2141185,2188253,2233456,2255789,2291217,2324135,2333556,2364876,2401093,2425381,2479459,2543274,2645733,2718047,2758346,2788348,2811700,2838738,2871539,2863516,2867108,2896135,2904355,2942297,3008948,3047934,3058156,3034328,3084127,3132742,3126833
LASST48000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
LASST48000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832486
LASST48000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11811521
LASST48000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12644007
LAUST48000003,5.8,5.4,4.8,4.4,5.2,5.3,6.9,7.9,6.2,6.8,8.9,8.5,7.4,6.7,6.4,7,7.6,7.2,6.6,6.1,5.8,5.4,4.9,4.7,4.4,5,6.4,6.7,6,5.4,4.9,4.4,4.9,7.5,8.2,7.9,6.3
LAUST48000004,330393,321054,301480,285742,350225,377735,510614,605946,488030,550556,731621,705132,617016,567854,551865,612478,684139,659875,617019,586801,560663,531315,496900,483726,451845,527415,687888,736116,666594,599137,556831,497793,573946,897093,1004979,986979,792388
LAUST48000005,5375578,5641416,5927062,6195928,6417249,6701939,6874191,7033882,7339653,7498264,7459981,7590455,7732050,7883306,8041859,8139722,8307176,8543207,8778660,8985635,9175983,9395279,9600982,9766299,9896002,9991920,10115299,10228640,10385318,10551547,10757510,10914098,11079931,11071106,11264748,11464525,11879161
LAUST48000006,5705971,5962470,6228542,6481670,6767474,7079674,7384805,7639828,7827683,8048820,8191602,8295587,8349066,8451160,8593724,8752200,8991315,9203082,9395679,9572436,9736646,9926594,10097882,10250025,10347847,10519335,10803187,10964756,11051912,11150684,11314341,11411891,11653877,11968199,12269727,12451504,12671549
LASST49000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
LASST49000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70844
LASST49000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290210
LASST49000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361054
LAUST49000003,5.6,5.3,3.9,4.5,6.5,6.5,8.3,8.8,6.5,6.2,6.2,6.2,5,4.6,4.4,4.7,4.9,4.2,3.9,3.5,3.5,3.2,3.7,3.6,3.4,4.4,5.8,5.7,5.1,4.1,2.9,2.6,3.5,7.6,8,6.7,5.1
LAUST49000004,29641,29026,22339,26842,40718,42223,56024,61297,46091,44949,45818,47221,37902,36675,36386,40294,43874,38831,37876,35592,36146,33850,40691,40150,38121,50886,68046,68307,62862,53175,39044,35595,48227,105465,109041,90062,69261
LAUST49000005,496231,521164,546139,574503,589404,605228,616655,632059,659594,678184,697404,709863,727586,752597,784050,810806,845398,892956,945389,979367,1004347,1034429,1061282,1080441,1097915,1108547,1113645,1139129,1179142,1230451,1285389,1329174,1332003,1277162,1252715,1248197,1298174
LAUST49000006,525872,550190,568478,601345,630122,647451,672679,693356,705685,723133,743222,757084,765488,789272,820436,851100,889272,931787,983265,1014959,1040493,1068279,1101973,1120591,1136036,1159433,1181691,1207436,1242004,1283626,1324433,1364769,1380230,1382627,1361756,1338259,1367435
LASST50000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
LASST50000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19563
LASST50000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338620
LASST50000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358183
LAUST50000003,8.5,7.1,5.5,4.9,6.3,5.8,7.2,6.7,4.9,4.8,4.4,3.8,3,3.6,4.9,6.6,6.4,5.3,4.6,4.3,4.4,4,3.1,2.9,2.7,3.3,4,4.5,3.7,3.5,3.7,3.9,4.5,6.9,6.4,5.6,4.6
LAUST50000004,18527,16271,13241,12086,15610,14818,19036,17859,13416,13394,12764,11062,8845,10890,15206,20356,20133,16604,14389,13707,14271,13014,10251,9834,9056,11135,13868,15478,12880,12235,13278,14011,16194,24749,23059,20089,16600
LAUST50000005,199746,212105,225503,232575,234061,242478,244005,247565,258134,266786,275617,283370,289026,293595,294074,288280,292288,298277,301836,305279,309653,315806,321608,325581,326742,330099,331763,331292,334188,336583,343149,341282,341783,335098,336785,339077,342668
LAUST50000006,218273,228376,238744,244661,249671,257296,263041,265424,271550,280180,288381,294432,297871,304485,309280,308636,312421,314881,316225,318986,323924,328820,331859,335415,335798,341234,345631,346770,347068,348818,356427,355293,357977,359847,359844,359166,359268
LASST51000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
LASST51000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249588
LASST51000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4097622
LASST51000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347210
LAUST51000003,5.9,5.5,5.2,4.7,5.2,5.8,7.4,6.3,5.1,5.4,4.9,4.2,4,3.9,4.4,5.9,6.2,5.2,4.7,4.5,4.3,3.7,2.8,2.7,2.3,3.2,4.2,4.1,3.7,3.5,3,3.1,4,6.9,6.9,6.2,5.4
LAUST51000004,137082,132675,128351,119209,133062,153743,196591,172845,142275,154007,143725,125916,121805,122669,143192,193648,206341,173926,161482,154894,147917,126915,99247,94820,81513,117652,156557,155724,142678,137986,121209,123065,164136,287983,294746,268833,234284
LAUST51000005,2205277,2269167,2348569,2409453,2443621,2482021,2466999,2561568,2668199,2721669,2791282,2873648,2944634,3014834,3076925,3103294,3146997,3195680,3265139,3317434,3252499,3323266,3384653,3441589,3502524,3537719,3588079,3647095,3715272,3783813,3862508,3894111,3947186,3915856,3960416,4037341,4124894
LAUST51000006,2342359,2401842,2476920,2528662,2576683,2635764,2663590,2734413,2810474,2875676,2935007,2999564,3066439,3137503,3220117,3296942,3353338,3369606,3426621,3472328,3400416,3450181,3483900,3536409,3584037,3655371,3744636,3802819,3857950,3921799,3983717,4017176,4111322,4203839,4255162,4306174,4359178
LASST53000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
LASST53000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285801
LASST53000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197898
LASST53000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3483699
LAUST53000003,8.8,8.4,6.8,6.7,7.9,9.4,11.8,11,9.2,8.3,8,7.2,6.2,5.8,5.1,6.3,7.2,7.1,6.5,6.3,5.9,4.9,4.8,4.8,5,6.2,7.3,7.4,6.2,5.5,4.9,4.6,5.4,9.4,9.9,9.2,7.2
LAUST53000004,143498,141894,122738,128388,156656,186867,239519,226537,189826,175505,176033,163526,145359,141769,130594,160307,188716,191091,178175,176600,170469,144428,145148,148588,151344,189009,227676,232924,199708,179555,163868,154123,188204,329510,349065,319466,252565
LAUST53000005,1479689,1555038,1684832,1793926,1815717,1808415,1784599,1835043,1876848,1926816,2016535,2096708,2181107,2290164,2406444,2383588,2445866,2500782,2566663,2636011,2711963,2822223,2886871,2917577,2898677,2863705,2877022,2913230,2999526,3075972,3155384,3232652,3283923,3193293,3167398,3165348,3231274
LAUST53000006,1623187,1696932,1807570,1922314,1972373,1995282,2024118,2061580,2066674,2102321,2192568,2260234,2326466,2431933,2537038,2543895,2634582,2691873,2744838,2812611,2882432,2966651,3032019,3066165,3050021,3052714,3104698,3146154,3199234,3255527,3319252,3386775,3472127,3522803,3516463,3484814,3483839
LASST54000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
LASST54000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60311
LASST54000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740305
LASST54000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800616
LAUST54000003,7.4,6.6,6,6.9,9.6,10.7,14.3,17.4,14.7,13.4,12,10.8,9.7,8.7,8.6,10.5,11.3,10.4,8.7,7.9,7.4,6.8,6.5,6.3,5.5,5.2,5.9,6,5.3,4.9,4.5,4.2,4.2,7.7,8.5,8,6.8
LAUST54000004,51418,47556,44370,52837,74763,82428,110383,135206,111656,100743,89351,80471,72395,64955,65122,80779,87793,81231,68100,61678,58879,54273,52463,50985,44212,41719,47067,47154,41479,39038,36736,34295,34075,61643,68126,63805,54312
LAUST54000005,646629,670524,697281,710401,701820,688256,660867,639713,647587,648775,654958,663451,674110,684483,691184,688512,689628,696784,712664,723904,735710,746442,754629,762395,764649,758904,749164,742424,746854,763696,777210,774412,770545,743178,733769,736078,749653
LAUST54000006,698047,718080,741651,763238,776583,770684,771250,774919,759243,749518,744309,743922,746505,749438,756306,769291,777421,778015,780764,785582,794589,800715,807092,813380,808861,800623,796231,789578,788333,802734,813946,808707,804620,804821,801895,799883,803965
LASST55000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
LASST55000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211119
LASST55000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850050
LASST55000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3061169
LAUST55000003,5.5,5,4.8,4.5,7.3,7.9,10.3,9.8,7.3,7.2,6.9,6.1,4.2,4.2,4.3,5.3,5.2,4.5,4.3,3.7,3.6,3.5,3.3,3.1,3.4,4.4,5.3,5.6,5,4.8,4.7,4.8,4.8,8.7,8.5,7.5,5.7
LAUST55000004,118769,110670,109477,103237,172436,189140,247633,236417,174352,172934,168013,151885,106112,109815,112769,140788,138822,123959,121782,107610,105430,103028,97084,91002,101207,133061,160153,171087,152026,145691,144614,148201,149603,272441,260873,228828,173745
LAUST55000005,2021850,2083604,2153903,2207603,2190079,2195594,2162766,2165339,2214989,2228157,2274641,2344901,2423289,2478280,2486129,2499353,2556294,2628814,2713392,2773640,2815599,2855830,2869982,2879024,2894884,2897937,2860915,2862587,2868376,2890117,2932482,2948725,2939773,2842916,2821803,2833431,2892230
LAUST55000006,2140619,2194274,2263380,2310840,2362515,2384734,2410399,2401756,2389341,2401091,2442654,2496786,2529401,2588095,2598898,2640141,2695116,2752773,2835174,2881250,2921029,2958858,2967066,2970026,2996091,3030998,3021068,3033674,3020402,3035808,3077096,3096926,3089376,3115357,3082676,3062259,3065975
LASST56000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
LASST56000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15763
LASST56000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289347
LASST56000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305110
LAUST56000003,4,3.4,3,2.6,4,4.1,6.1,8.3,6.3,7.1,8.9,8.2,6.6,6.3,5.3,5.1,5.7,5.5,5,4.9,5.2,4.8,4.9,4.9,3.8,3.9,4.2,4.5,3.9,3.7,3.2,2.8,3.1,6.3,7,6,4.4
LAUST56000004,7205,6642,6346,5765,9366,10151,15537,21406,16166,18048,22254,19917,15562,14986,12512,11932,13514,13422,12590,12350,13157,12319,12822,12848,10197,10477,11192,12118,10733,10256,9076,8163,9160,18982,21220,18111,13440
LAUST56000005,172798,188505,203706,217570,227193,237187,237994,236570,238923,234986,228544,222093,221422,221913,223531,223192,224562,229177,236885,240846,241560,243944,247748,251828,256685,259508,258462,259489,262358,267927,276882,282417,287181,281659,281995,286131,291794
LAUST56000006,180003,195147,210052,223335,236559,247338,253531,257976,255089,253034,250798,242010,236984,236899,236043,235124,238076,242599,249475,253196,254717,256263,260570,264676,266882,269985,269654,271607,273091,278183,285958,290580,296341,300641,303215,304242,305234
