Local Area Unemployment Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,1976 to 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,"Annual
1976","Annual
1977","Annual
1978","Annual
1979","Annual
1980","Annual
1981","Annual
1982","Annual
1983","Annual
1984","Annual
1985","Annual
1986","Annual
1987","Annual
1988","Annual
1989","Annual
1990","Annual
1991","Annual
1992","Annual
1993","Annual
1994","Annual
1995","Annual
1996","Annual
1997","Annual
1998","Annual
1999","Annual
2000","Annual
2001","Annual
2002","Annual
2003","Annual
2004","Annual
2005","Annual
2006","Annual
2007","Annual
2008","Annual
2009","Annual
2010","Annual
2011","Annual
2012"
LASST09000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723276
LASST09000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894359
LAUST09000003,9.1,7.1,5.3,5.2,5.9,6,6.9,5.9,4.5,4.6,3.8,3.2,2.9,3.6,4.9,6.5,7.3,6.4,5.5,5.3,5.3,4.8,3.3,2.7,2.3,3.1,4.4,5.5,4.9,4.9,4.4,4.6,5.6,8.2,9.3,8.8,8.6
LAUST09000004,132753,104951,79357,80651,92961,96822,112052,97161,75916,78140,64887,55755,49998,63991,89543,119491,133206,114378,96959,92328,93130,84917,56809,46210,39161,54793,78045,98143,88219,88389,80824,84820,105131,155521,178138,168649,163614
LAUST09000005,1322564,1378513,1431461,1471059,1482804,1505380,1517552,1542196,1594174,1624864,1657341,1682725,1694391,1707128,1725381,1708655,1693563,1682262,1670083,1657732,1659643,1674937,1684831,1696007,1697670,1700046,1700949,1696857,1703865,1718608,1745993,1760875,1766773,1740431,1738458,1749478,1733500
LAUST09000006,1455317,1483464,1510818,1551710,1575765,1602202,1629604,1639357,1670090,1703004,1722228,1738480,1744389,1771119,1814924,1828146,1826769,1796640,1767042,1750060,1752773,1759854,1741640,1742217,1736831,1754839,1778994,1795000,1792084,1806997,1826817,1845695,1871904,1895952,1916596,1918127,1897114
LASST10000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
LASST10000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29792
LASST10000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409710
LASST10000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439502
LAUST10000003,8.1,7.9,7.3,7.1,7.4,7.8,8,7.7,6.2,5.1,3.9,3.1,2.9,3.1,4.2,5.7,5.4,5,4.6,4.4,4.3,3.9,3.5,3.3,3.3,3.5,4,4.2,3.9,4,3.5,3.5,4.8,7.9,8,7.3,6.6
LAUST10000004,21429,21265,20048,20001,20966,22543,23361,22838,19110,16058,12641,10355,10115,11126,15060,20796,19785,18562,17299,16834,16529,15376,13959,13331,13726,14579,16584,17557,16647,17193,15507,15576,21571,34532,35116,32229,29037
LAUST10000005,242325,247210,254714,260448,262692,266415,269500,275291,288708,298472,310618,323974,336396,346958,347038,342525,347194,353156,360866,366200,371975,378117,383360,387808,402777,404135,401301,403504,408266,417196,424618,427265,424228,404911,401706,406952,411560
LAUST10000006,263754,268475,274762,280449,283658,288958,292861,298129,307818,314530,323259,334329,346511,358084,362098,363321,366979,371718,378165,383034,388504,393493,397319,401139,416503,418714,417885,421061,424913,434389,440125,442841,445799,439443,436822,439181,440597
LASST11000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
LASST11000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30770
LASST11000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329615
LASST11000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360385
LAUST11000003,9.2,8.5,7.3,6.7,7.3,9,10.6,11,8.9,8,7.3,6.2,5.1,5.1,6,7.7,8.6,8.5,8,8.6,8.5,8.3,8,6.5,5.7,6.3,6.7,7,7.5,6.5,5.7,5.5,6.6,9.7,10.1,10.2,8.3
LAUST11000004,30983,27943,24295,22111,23372,27677,32825,34418,28451,25857,23535,20294,16737,16001,19862,24756,27223,26568,24892,25727,24764,23759,23578,20069,17505,19168,20596,21546,23390,20692,18408,17794,21906,32429,34690,35273,30142
LAUST11000005,305009,300834,308192,306764,298658,280782,275661,278799,292132,296068,298684,308848,313242,300298,311838,297828,290103,287731,285207,273764,265734,262789,270242,288016,291916,286649,284615,285361,288397,298611,303791,307920,312117,301506,308689,309060,331639
LAUST11000006,335992,328777,332487,328875,322030,308459,308486,313217,320583,321925,322219,329142,329979,316299,331700,322584,317326,314299,310099,299491,290498,286548,293820,308085,309421,305817,305211,306907,311787,319303,322199,325714,334023,333935,343379,344333,361781
LASST12000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
LASST12000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790011
LASST12000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8551739
LASST12000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9341750
LAUST12000003,9.3,8.3,6.8,6.1,6.1,6.8,8.4,8.5,6.6,6.2,5.9,5.4,5.3,5.7,6.3,7.6,8.4,7.2,6.5,5.7,5.3,5,4.5,4,3.8,4.7,5.7,5.3,4.7,3.8,3.3,4,6.3,10.4,11.3,10.5,8.2
LAUST12000004,334104,312002,271322,251037,262278,308872,395665,419390,340215,327279,327594,317543,319339,355811,404585,496420,559175,490222,454836,400020,382145,368202,340286,309329,300284,373344,462419,433253,390627,329751,296256,366749,577462,939307,1030146,970362,767515
LAUST12000005,3277608,3437032,3710801,3898262,4026492,4211397,4328901,4489884,4811147,4989320,5233969,5515189,5726662,5870515,6060994,6055255,6133417,6298142,6501689,6650064,6822517,7040660,7232345,7401659,7569406,7624718,7662511,7785547,7998202,8305281,8584095,8839027,8646889,8126928,8102324,8278141,8622231
LAUST12000006,3611712,3749034,3982123,4149299,4288770,4520269,4724566,4909274,5151362,5316599,5561563,5832732,6046001,6226326,6465579,6551675,6692592,6788364,6956525,7050084,7204662,7408862,7572631,7710988,7869690,7998062,8124930,8218800,8388829,8635032,8880351,9205776,9224351,9066235,9132470,9248503,9389746
LASST13000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
LASST13000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418684
LASST13000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4374856
LASST13000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4793540
LAUST13000003,8.1,6.9,5.7,5.2,6.2,6.5,7.7,7.5,6.1,6.3,5.9,5.5,5.5,5.3,5.2,5,6.7,5.9,5.1,4.8,4.6,4.5,4.2,3.8,3.5,4,4.8,4.8,4.7,5.2,4.7,4.6,6.3,9.8,10.2,9.8,8.5
LAUST13000004,183597,161747,138005,127844,157761,168735,202173,201789,168420,180326,174595,170045,174565,171414,170747,166069,227635,206798,182076,176822,174689,175102,167599,154994,147527,170288,210021,208395,211130,241082,222164,223425,305105,466856,481055,462929,409468
LAUST13000005,2086181,2167625,2272542,2343886,2371651,2411584,2426141,2476325,2612874,2699326,2799257,2901131,2992923,3069568,3129389,3132596,3182777,3278794,3412606,3522905,3638219,3751699,3861646,3951684,4095362,4112868,4135381,4173787,4249007,4375178,4500150,4587739,4548366,4278522,4213875,4262175,4392648
LAUST13000006,2269778,2329372,2410547,2471730,2529412,2580319,2628314,2678114,2781294,2879652,2973852,3071176,3167488,3240982,3300136,3298665,3410412,3485592,3594682,3699727,3812908,3926801,4029245,4106678,4242889,4283156,4345402,4382182,4460137,4616260,4722314,4811164,4853471,4745378,4694930,4725104,4802116
LASST15000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
LASST15000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35538
LASST15000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606974
LASST15000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642512
LAUST15000003,9.3,7.7,6.7,5.7,4.8,5.1,5.9,5.9,5.4,5,4.5,3.6,3,2.4,2.4,2.8,4.2,4.4,5.1,5.5,5.9,5.8,5.7,5,4,4.2,4,3.9,3.2,2.8,2.5,2.7,4.1,6.9,6.9,6.7,5.5
LAUST15000004,37986,32396,28249,24360,21248,23210,27272,27888,25723,24414,22339,18547,15685,12534,13408,15693,24446,25414,30069,32437,35070,34898,34150,30346,24160,26039,24583,23855,19974,17249,15684,17119,26393,44073,44636,44241,35044
LAUST15000005,372262,386127,394315,406448,419753,428519,432473,444018,451382,459416,473494,492721,503770,515233,537620,547351,551563,556331,555749,557042,561683,566766,570152,576314,584858,589216,584354,592469,598175,609835,617807,620107,617642,593860,604522,616453,605659
LAUST15000006,410248,418523,422564,430808,441001,451729,459745,471906,477105,483830,495833,511268,519455,527767,551028,563044,576009,581745,585818,589479,596753,601664,604302,606660,609018,615255,608937,616324,618149,627084,633491,637226,644035,637933,649158,660694,640703
