  																																			
	1992	1992	1992	1992	1992	1992	1996	1996	1996	1996	1996	1996	2000	2000	2000	2000	2000	2000	2004	2004	2004	2004	2004	2004	2008	2008	2008	2008	2008	2008	2012	2012	2012	2012	2012	2012
State	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection
Oregon	323.8	a	1109	a	1432.9	a	387.4	a	1305.4	a	1692.7	a	472.5	a	1446.8	a	1919.3	a	599	a	1552.4	a	2151.3	a	735.1	a	1897.9	a	2633.1	a	862.6	g	1946	g	2808.6	g
Pennsylvania	390.3	a	902.6	a	1292.8	a	416.6	a	1081.1	a	1497.7	a	522.3	a	1383.4	a	1905.6	a	671.1	a	1673.8	a	2344.8	a	695.6	a	1974.4	a	2670	a	776.3	g	2076.9	g	2853.2	g
Rhode Island	391.5	a	948.1	a	1339.6	a	439.6	a	1035	a	1474.6	a	542.5	a	1246	a	1788.5	a	664.3	a	1641.4	a	2305.7	a	773.4	a	2019.1	a	2792.5	a	837	g	2020.5	g	2857.5	g
South Carolina	414.4	a	797.5	a	1211.9	a	518.5	a	892.9	a	1411.4	a	599.1	a	1193.4	a	1792.5	a	765	a	1401.7	a	2166.7	a	1032.7	a	1732.4	a	2765.1	a	1033.8	g	1635.7	g	2669.5	g
South Dakota	315.1	a	836.2	a	1151.3	a	383.5	a	935.9	a	1319.4	a	428	a	1202.7	a	1630.7	a	544.4	a	1318.7	a	1863.1	a	719	a	1510.2	a	2229.3	a	841.6	g	1686.7	g	2528.4	g
Tennessee	356.3	a	612	a	968.2	a	397.9	a	807.1	a	1205.1	a	469.2	a	1014.5	a	1483.7	a	531.4	a	1165.2	a	1696.6	a	650.9	a	1365.9	a	2016.8	a	660	g	1378.7	g	2038.8	g
Texas	289.1	a	959	a	1248.1	a	335.8	a	1126.7	a	1462.5	a	424.6	a	1461.7	a	1886.3	a	563.1	a	1670.7	a	2233.8	a	700.4	a	2046.8	a	2747.3	a	867.8	g	1744	g	2611.8	g
Utah	533.8	a	846	a	1379.8	a	663.9	a	1076.2	a	1740.1	a	812.6	a	1102.3	a	1915	a	1002.5	a	1256.1	a	2258.7	a	1238	a	1650.2	a	2888.2	a	1422.4	g	1517.8	g	2940.3	g
Vermont	575.1	a	1028.3	a	1603.4	a	651.4	a	1132.3	a	1783.7	a	740.1	a	1459	a	2199.1	a	986.3	a	1885.9	a	2872.2	a	1330.1	a	2224.6	a	3554.7	a	1459.7	g	2323.8	g	3783.5	g
Virginia	388.9	a	884.6	a	1273.5	a	499.3	a	1017.5	a	1516.8	a	557.4	a	1321.4	a	1878.8	a	664	a	1525.7	a	2189.7	a	937.6	a	2010.6	a	2948.2	a	979.1	g	1972.2	g	2951.4	g
Washington	512	a	1056.2	a	1568.2	a	581.5	a	1184.5	a	1766	a	688.3	a	1302.7	a	1991	a	903.1	a	1454.5	a	2357.6	a	1046.7	a	1778.5	a	2825.2	a	1132.8	g	1743.6	g	2876.4	g
West Virginia	373.6	a	880	a	1253.6	a	467.6	a	1013	a	1480.5	a	564.6	a	1203.7	a	1768.3	a	739.2	a	1353.6	a	2092.8	a	1018.4	a	1547.3	a	2565.8	a	1345.4	g	1798.8	g	3144.2	g
Wisconsin	392.6	a	1101.7	a	1494.3	a	429.1	a	1371.5	a	1800.6	a	524.3	a	1637.9	a	2162.2	a	657.9	a	1810.9	a	2468.8	a	764.5	a	2046.6	a	2811.1	a	908.7	g	2142.3	g	3051	g
Wyoming	424.3	a	1516.4	a	1940.7	a	470.9	a	1584.1	a	2055	a	534.7	a	1773.3	a	2308	a	693.4	a	2206.8	a	2900.2	a	941.3	a	3290.5	a	4231.8	a	1196.6	g	3606.1	g	4802.7	g
