Gross Domestic Product by State (millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All industry total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fips,Area,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
30000,Montana,1974,2024,2178,2349,2362,2531,2761,2919,3143,3661,4341,4661,5218,6032,6350,7443,8173,8925,10201,10206,10584,11010,10941,10979,11383,11703,12630,13242,13875,14937,16054,17062,17519,18119,18932,19822.5811627422,20475.4767659929,21335.4842675557,22765.5426130444,23453.9431131486,25328.7989164409,27448.2440091686,29640.6713898729,31788.7176495103,34602.4807251511,35309.6199208168,34376.6301312773,36037.4703063138,37467.5286518025,39800
31000,Nebraska,4262,4400,4749,5205,5486,5823,6537,6907,7660,8487,9961,10440,11875,13042,13874,15851,17423,18294,20863,21265,21820,24631,25717,26045,26760,29262,31332,33734,35613,38214,39353,43504,45111,49007,50308,51392.6379069539,53426.3339824924,56738.6360578342,59034.5849119701,60747.639854431,65657.2097964001,68850.755896528,71753.3498573817,75755.4262220911,81283.5168682994,84297.9393724796,84983.75512934,89138.2349955739,93183.8552178617,99000
32000,Nevada,1819,1933,2032,2131,2248,2549,2947,3262,3611,3990,4530,4966,5529,6263,7416,8932,10295,11633,13203,13885,15060,16514,17945,19731,21951,24987,27847,30980,32786,36052,40039,45173,49249,54419,59467,64850.8936536332,71509.3334525939,76893.2271062271,80090.737149672,83852.5732685919,90359.0401567425,101986.994139194,115983.699224806,125381.704029304,134936.747508306,133711.845847176,126173.989470994,127847.717795383,132080.669937814,136100
33000,New Hampshire,1651,1812,1961,2169,2370,2596,2817,3050,3332,3626,4173,4470,4842,5511,6298,7389,8351,9263,10480,11407,12629,14767,16578,18369,20994,22937,23777,23768,24763,26332,27362,29190,31876,34561,36935,39346.1477147577,41234.5919603524,44908.7702367841,45438.5922356828,47521.2706497797,49593.7797356828,52204.2462830397,54602.1738711454,57052.981965859,58847.8683920705,59463.1127477974,59965.4775605727,62679.6712555066,64632.1822687225,66300
34000,New Jersey,23388,24774,26655,29027,30976,33657,35852,38492,41307,45388,49301,52987,56052,60496,65839,72918,81051,88334,98755,105759,117962,133572,145929,158836,174629,194709,205075,214357,221915,230774,240389,251573,263468,278191,292671,303385.436917495,318116.085894279,340463.923505547,354885.333878251,366537.211092393,381694.76493456,399472.09487545,418392.051733934,442173.278346508,458384.966298183,468816.42071949,457398.90357951,467208.963447334,473571.693593565,502900
35000,New Mexico,3030,3156,3311,3452,3514,3806,4091,4431,4822,5406,6189,7116,8098,9254,10102,11536,13141,15731,18511,19242,19882,21397,22534,21807,22429,23457,24927,26600,30295,32638,36876,41685,42146,44532,48683,47584.4792437752,49938.1597829744,51490.2170676312,53314.601026245,54938.3232251009,59283.2645945491,65722.8690275908,69374.708298284,73124.8308798789,76124.5194313594,78951.1884042732,76513.5575370121,78928.6651455249,81302.8213744953,82800
36000,New York,70640,75542,80347,86559,92078,99817,107031,112349,119145,127221,136396,145419,155256,163284,179890,200063,217725,235746,261840,282227,305288,339427,364281,390104,418306,456557,473252,493192,497336,519704,537504,555322,582656,620153,664679,691401.895341417,734884.647634717,773252.195896104,813200.843772778,826642.703375605,847017.076676234,896052.272882345,964809.500589771,1035678.54666447,1081796.80003297,1085278.63669372,1077832.4917795,1134635.4806283,1163931.55779752,1204100
37000,North Carolina,12639,13482,14544,15966,17155,18962,20882,22840,25035,28005,31755,33607,35998,40454,43822,49867,54515,58791,65869,68971,77543,88151,96535,104785,113262,124303,133866,139658,146367,159337,168006,181288,193467,203815,221259,234891.057335117,257341.239899785,272372.20113857,282441.213468702,292358.339275408,300955.890445459,316681.46648565,343112.623852248,365921.722978645,383818.212130752,394092.319639016,398092.643042657,410734.051970198,425535.732278713,460100
38000,North Dakota,1624,1591,1825,1846,1874,1958,2178,2294,2632,3078,4404,4506,4869,5052,5243,6417,7218,7645,9954,9954,10045,10642,10655,9773,10306,9748,10729,11509,11691,12896,13049,14304,14842,16491,16501,17609.8688504095,17791.4138901044,18841.4869037945,19727.5504782147,21082.9492404826,23031.4638994812,24068.1273363756,25447.2507345127,26884.1384634619,29448.462149153,32769.9111708445,33005.0945177221,36777.3116209289,41598.5702319185,44700
39000,Ohio,33270,35652,39071,42672,44420,48696,52817,53714,57975,62940,69836,74206,78141,87419,96995,107554,117117,121228,132782,134636,144897,163854,174165,182644,191784,205308,217817,227413,233975,250650,259612,281925,297538,311120,332476,349430.134288637,362769.195462305,379956.753346115,381782.245564767,396985.702889615,408670.84816245,427117.297401417,442989.104336373,451768.425110337,465987.313681191,464380.282006739,449880.0880776,465779.826041039,482769.87165201,506400
40000,Oklahoma,6151,6544,6966,7468,8087,8836,9622,10369,11278,12738,14483,16204,18163,20822,24022,27105,31546,37608,45430,49317,47701,51291,52765,48997,49055,52667,55007,57805,59632,62209,65552,68251,70859,76316,81106,83202.7958107198,87628.3338713983,94090.877105126,100103.959683262,101827.579445073,107965.397663866,115764.983260673,124250.099444564,136256.678012634,144711.89887769,157953.463375574,145003.635954599,152143.462790905,159750.275124878,163400
41000,Oregon,5707,6164,6725,7267,7639,8528,9353,9798,10864,12221,14180,15424,16823,19758,22047,25391,28372,30001,31590,31594,33727,37444,39446,41730,44594,49138,52610,56566,59441,63392,69409,75393,81554,93306,100363,104785.874584598,108318.995242223,117232.071542098,116520.475560922,123851.882190848,129025.713233018,142205.258013912,148564.04655603,165623.70566805,173070.086321134,181254.993807666,177744.66079427,191841.926156418,201714.155117964,205600
42000,Pennsylvania,34533,37375,40541,44082,46515,49957,54486,56670,60293,65390,71852,78201,84120,90743,99024,110054,120527,127181,138573,142077,152042,167390,176873,187386,202910,220582,233162,245281,255163,269849,281704,296602,312989,325001,342662,362570.77573679,378451.983235482,393994.5722374,405201.848543859,422379.765697843,439716.036795908,459844.914555601,480240.703365692,504304.527245248,528940.018822299,542498.701807824,535040.131448003,556646.979352439,576487.035453119,605300
44000,Rhode Island,2686,2881,3157,3470,3631,3912,4113,4311,4599,5114,5418,5599,6002,6528,7245,7975,8845,9626,10729,11420,12323,13801,15222,16622,17891,19738,21059,21664,21738,22665,23566,24354,25550,26454,28717,29986.9066988191,31614.2610730877,34200.9194652293,36356.8075818291,38835.5188127238,41410.9751409624,43713.5084577467,45000.7274371432,47303.2607539274,48161.7461966736,48098.6072910387,48614.9206000213,49737.1637292103,51011.1439058123,52100
45000,South Carolina,5057,5544,6211,6941,7381,8170,8874,9556,10551,11897,13761,15312,16030,18177,20103,22976,25507,27607,31048,32353,35850,41203,43988,47748,52688,57329,61347,65157,68000,71848,76158,82062,87248,90755,96465,102505.725089517,109231.317137918,114584.197586122,119125.163291764,123465.631713792,129529.185701939,133790.249259168,140821.550037042,147994.787010742,156538.75046302,158018.658630695,155478.695517965,159180.947339178,164551.693881961,173200
46000,South Dakota,1610,1597,1763,1919,1960,2093,2273,2437,2656,3046,3958,3966,4400,4645,5116,5971,6716,6760,7661,7709,8123,9194,9588,10067,10669,11173,11790,12770,13736,14886,16105,17330,18054,19419,19765,21139.0374331551,22382.2141583906,24197.1515151515,25378.9243697479,27792.8011204482,29113.4876496053,30771.3921568627,31757.88057041,32517.8792971734,35115.9676597912,37512.7318563789,37267.1163738223,38468.0150241915,40382.6078431373,42300
47000,Tennessee,9055,9758,10820,11980,12598,13974,15167,16100,17867,20326,23150,25106,26645,30549,33598,38182,42194,44972,50265,52045,57073,63983,68426,73288,80715,87356,91579,94087,101208,111660,119568,129895,137061,143163,152687,162047.65744157,171732.368320349,177022.914590585,183141.043485075,192506.686364141,199871.174632509,212915.073295762,223634.760998609,235624.738175312,241514.534032508,247238.813364853,244281.451842516,255447.83474496,265750.739873182,279500
48000,Texas,29252,31356,33858,36774,39907,44484,48575,52314,57344,64019,73840,85387,98804,113757,130404,149091,171608,203073,245235,260085,264883,288637,307224,295721,300667,327354,349952,378943,393574,416401,443775,475990,507725,551513,606982,639365.259817989,675974.088494752,736918.242407334,768994.059834595,789048.375780523,831091.374714362,910915.515441079,976309.015952571,1062857.57696958,1156592.22586688,1218950.6147768,1138582.14981732,1232696.81766972,1318607.30972499,1396200
